key,source,target
ST_TanrenEnd/TAKUMI_BONUS1_SEGMENT1,それじゃあ‥オレは配達あるからこのへんで,那么……我还要送东西，就在这里分开吧。
ST_TanrenEnd/TAKUMI_BONUS1_SEGMENT2,それじゃあ‥また今度な,那么……下次再见。
ST_TanrenEnd/TAKUMI_BONUS1_SEGMENT3,それじゃあ‥また誘ってくれてもかまわないよ,那么……可以再约我哦。
ST_TanrenEnd/TAKUMI_BONUS2_SEGMENT1,‥わるくないな,……真不错。
ST_TanrenEnd/TAKUMI_BONUS2_SEGMENT2,いい鍛錬になったんじゃないかな,这次的训练效果不错啊。
ST_TanrenEnd/TAKUMI_BONUS2_SEGMENT3,相変わらずいい鍛錬だったな,训练效果一直都很好啊。
ST_TanrenEnd/TAKUMI_BONUS3_SEGMENT1,あんた‥結構いいウデしてるな,你……技术真不错啊。
ST_TanrenEnd/TAKUMI_BONUS3_SEGMENT2,かなりよかったと思うぜ,我觉得很不错哦。
ST_TanrenEnd/TAKUMI_BONUS3_SEGMENT3,またウデを上げたんじゃないか？,技术又变好了吧？
ST_TanrenEnd/TAKUMI_BONUS4_SEGMENT1,‥人の走りを見るのも悪くないな,……看别人开车也不错啊。
ST_TanrenEnd/TAKUMI_BONUS4_SEGMENT2,あんたみたいな走り屋なかなかいないよ,你这样的车手很少见哦。
ST_TanrenEnd/TAKUMI_BONUS4_SEGMENT3,今回は文句の付けどころがねぇや‥,这次没地方可以挑毛病啊……
ST_TanrenEnd/IKETANI_BONUS1_SEGMENT1,おつかれさん！,辛苦了！
ST_TanrenEnd/IKETANI_BONUS1_SEGMENT2,おつかれさん！また誘ってくれよ！,辛苦了！再来约我哦！
ST_TanrenEnd/IKETANI_BONUS1_SEGMENT3,おつかれさん！次回も頼むぜ！,辛苦了！下次也请多关照啦！
ST_TanrenEnd/IKETANI_BONUS2_SEGMENT1,おっ‥おまえ意外とやるな！,噢……没想到你挺能干啊！
ST_TanrenEnd/IKETANI_BONUS2_SEGMENT2,いい鍛錬になったな！,训练效果不错啊！
