key,source,target
/62704747462529B567E8189B4AE41B33,"レバーを引き上げるとシートを前後に調整できます。

You can adjust seat forward or backward by pulling up the lever.","Вы можете отрегулировать сиденье вперед или назад,
потянув за рычаг."
/4ED2E09848B38B40BFE4FE95678E41A4,で選択し,Выбрать
/4639C4114CAFAA697CBC3C85249B59CB,で決定します,Подтвердить
/78A25E384521C1C4E0DD92BF9830B280,"Use the direction keys and handle to select
Confirm with START button, accelerator","Используйте клавиши направления или руль для выбора
Подтвердите с помощью кнопки START или педали газа"
/E0386155425231B7DA365090602F9F28,方向キー、ハンドル,"Клавиши направления, руль,"
/16755D3B4B4A307E40A4B8B8FBBEAACE,STARTボタン、アクセル,"Кнопка START, педаль газа"
/DBC67FA0405611FBF412F29753D0E5C0,"画面右下に操作可能なボタンの説明が表示されます

Explanations of the buttons that can be operated are
displayed at the buttom right of the screen","Пояснения к кнопкам, которыми можно управлять,
отображаются в правом нижнем углу экрана."
/C5894AFA410B61DD5AD0ADB00D7A0D44,決定,Подтвердить
/6FCF8F344B12F68FF91CCC8171984E45,選択,Выбор
/DC6E6A2C422EB9DB9BD3C18DF1273014,戻る,Назад
/67713B944FDAAB674478F4853C883D85,"ショップ&
 カスタマイズ ",Магазин и настройка
/C9C19891407692E9695A55A42E17DA48,"ランキング
選択",Выбор рейтинга
/C663033140F33A78318091BB27B7AC72,"使用車種
登録 ","Тип транспортного средства
Регистрация"
/B943EE474C5225C30ABD5287C1AB5A27,配置入れ替え用,Для замены конфигурации
/AF3BCB6F4E85A1A354FC8D98F0828317,配置入れ替え用,Для замены конфигурации
/B709CDD5407E639F3B6EECBAA4B12F34,配置入れ替え用,Для замены конфигурации
