key,source,target
ST_TalkLoad/TAKUMI_GAME_LINEGUIDE,ラインをイメージするっていうか‥,与其说去想象行车线路……
ST_TalkLoad/TAKUMI_CAR_LAYOUT_SPEED,峠によってクルマの選び方も大事なんだな,如何根据山道去选车也是很重要的。
ST_TalkLoad/TAKUMI_CAR_LAYOUT_TECHNICAL,峠によってクルマの選び方も大事なんだな,如何根据山道去选车也是很重要的。
ST_TalkLoad/TAKUMI_CAR_ROOT_DHHC,「下り」か「上り」で相性の良さもあるんだな,不同改装对“上坡”“下坡”的适应性也不一样呢。
ST_TalkLoad/TAKUMI_CAR_ROOT_AR,峠によって相性の良さもあるんだな,不同的山道，车的适应性也不一样呢。
ST_TalkLoad/TAKUMI_COURSE_AKINA_LAKE,"配達のときはある程度おさえて走っているけど‥
本気で攻めると速度がのっておもしろそうだな‥","虽说送货时路过这里多少会放慢速度……
但一旦全力以赴，这风驰电掣的感觉还真有趣啊……"
ST_TalkLoad/TAKUMI_COURSE_USUI,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_MYOGI,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_AKAGI,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_AKINA,"毎日走っているから気づかなかったけど
知らない人が走るとむずかしい峠だよな‥","我每天都在跑所以感觉不到。
对不知道的人来说，这条山道很难吧……"
ST_TalkLoad/TAKUMI_COURSE_IROHA,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_MOMIJI,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_HAPPO,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_SADAMINE,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_TSUCHISAKA,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_TSUKUBA,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_AKINA_SNOW,"どの季節の秋名も走ってきたけど
雪の秋名が一番むずかしいと思うな","虽说一年四季都在秋名跑，
但感觉雪中的秋名是最难跑的。"
ST_TalkLoad/TAKUMI_COURSE_ODAWARA,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_HAKONE,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_NAGAO,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/TAKUMI_COURSE_TSUKUBA_SNOW,この峠の情報を確認してきたぞ,我去打探过这条山道的情况了。
ST_TalkLoad/IKETANI_GAME_LINEGUIDE,"安定した走りが大事だとしみじみ思うぜ‥
（もうＳ１３はぶつけないぞ‥）","我深刻认识到稳定的驾驶非常重要……
（不会让我的S13再撞到了……）"
ST_TalkLoad/IKETANI_CAR_LAYOUT_SPEED,コースによってクルマの選び方も大事なんだぜ！,如何根据赛道去选车也是很重要的哦！
ST_TalkLoad/IKETANI_CAR_LAYOUT_TECHNICAL,コースによってクルマの選び方も大事なんだぜ！,如何根据赛道去选车也是很重要的哦！
ST_TalkLoad/IKETANI_CAR_ROOT_DHHC,「下り」か「上り」で相性の良さもあるんだぜ！,不同改装对“上坡”“下坡”的适应性也不一样哦！
ST_TalkLoad/IKETANI_CAR_ROOT_AR,コースによって相性の良さもあるんだぜ！,赛道不同，适配度的高低也不同哦！
ST_TalkLoad/IKETANI_COURSE_AKINA_LAKE,"秋名スピードスターズの新入りがいつも走り込んでいるぜ
オレも高速コーナーの練習でよく来るんだ","刚加入秋名速度之星的新人经常在这里练习哦。
我也会因为练习高速弯经常过来。"
ST_TalkLoad/IKETANI_COURSE_USUI,このコースの情報を確認してきたぜ,我去打探过这条赛道的情况了。
ST_TalkLoad/IKETANI_COURSE_MYOGI,このコースの情報を確認してきたぜ,我去打探过这条赛道的情况了。
ST_TalkLoad/IKETANI_COURSE_AKAGI,このコースの情報を確認してきたぜ,我去打探过这条赛道的情况了。
ST_TalkLoad/IKETANI_COURSE_AKINA,"ここの情報ならオレたちのチームが一番熟知しているぜ！
（拓海とおやじさんを除けばだけど‥）","对于这里的情况，我们车队可以称得上是最了如指掌的了啊！
（不算拓海和他老爸的话……）"
ST_TalkLoad/IKETANI_COURSE_IROHA,このコースの情報を確認してきたぜ,我去打探过这条赛道的情况了。
ST_TalkLoad/IKETANI_COURSE_MOMIJI,このコースの情報を確認してきたぜ,我去打探过这条赛道的情况了。
ST_TalkLoad/IKETANI_COURSE_HAPPO,このコースの情報を確認してきたぜ,我去打探过这条赛道的情况了。
ST_TalkLoad/IKETANI_COURSE_SADAMINE,このコースの情報を確認してきたぜ,我去打探过这条赛道的情况了。
