key,source,target
ST_TalkResult/TAKUMI_WIN_SEGMENT1,へぇー‥あんたの走りからは何かすごい力を感じるよ,哦……可以从你的驾驶中感到某种强大的力量。
ST_TalkResult/TAKUMI_WIN_SEGMENT2,"やっぱり勝ったんだな
そんな気がしてたよ","果然胜了。
不出所料啊。"
ST_TalkResult/TAKUMI_WIN_SEGMENT3,"なんて速さだ‥
あんたの走りは期待を裏切らないな","这也太快了……
你的跑法不会辜负我对你的期望。"
ST_TalkResult/TAKUMI_WIN_SEGMENT4,"今のあんたなら涼介さんの言ってた
理論のゴールに限りなく近いんじゃないかな","现在的你，应该就是凉介所说的那种
无限接近于理论目标的情况吧。"
ST_TalkResult/TAKUMI_BIGWIN_SEGMENT1,そりゃあ‥勝つよな,胜利是……显而易见的。
ST_TalkResult/TAKUMI_BIGWIN_SEGMENT2,もっと強い相手と戦ってもいいんじゃないかな,和更强的对手过过招也没问题吧。
ST_TalkResult/TAKUMI_BIGWIN_SEGMENT3,"すっげえ‥やっぱり‥
あんたならぶっちぎると思っていたよ","厉害……不出所料……
我就觉得你可以甩开对手的。"
ST_TalkResult/TAKUMI_BIGWIN_SEGMENT4,"今のあんたなら涼介さんの言ってた
理論のゴールに限りなく近いんじゃないかな","现在的你，应该就是凉介所说的那种
无限接近于理论目标的情况吧。"
ST_TalkResult/TAKUMI_JUSTWIN_SEGMENT1,あっぶねー‥,好险……
ST_TalkResult/TAKUMI_JUSTWIN_SEGMENT2,ふぅ‥わりとギリギリだったな‥,呼……真是千钧一发啊……
ST_TalkResult/TAKUMI_JUSTWIN_SEGMENT3,"今の相手‥最後までついてくるなんてやるな
でもあんたならきっと勝つかなって‥","这次的对手……直到最后还紧紧跟着，真了不起啊。
不过我觉得你一定会赢的……"
ST_TalkResult/TAKUMI_JUSTLOSE_SEGMENT1,そんなに負けてたようにも見えねーけど‥,我其实并不认为会这么败下阵来……
ST_TalkResult/TAKUMI_JUSTLOSE_SEGMENT2,惜しいけど悪くないバトルだったな,虽然有点可惜，不过这场对决并不赖。
ST_TalkResult/TAKUMI_JUSTLOSE_SEGMENT3,"あんたなら勝てると思っていたんだけど‥
相手があの速さならしょーがねーか‥","我感觉你应该可以取胜的……
但对手那么快也是没办法的事……"
ST_TalkResult/TAKUMI_BIGLOSE_SEGMENT1,今の相手はさすがに強かったかもな‥,这次的对手感觉真的很强啊……
ST_TalkResult/TAKUMI_BIGLOSE_SEGMENT2,"ちょっと相手が強すぎたな‥
戦う相手は慎重に選ばないと","对手太强了吧……
要慎重选择对手才行。"
ST_TalkResult/TAKUMI_BIGLOSE_SEGMENT3,"えらく不調みたいだな
今日はまったりとしたバトルでもいいんじゃないかな？","感觉完全不在状态啊。
今天就只是参与一下应该也挺好吧？"
ST_TalkResult/TAKUMI_MIDDLE_SEGMENT1,そんなに悪くないな,还不赖啊。
ST_TalkResult/TAKUMI_MIDDLE_SEGMENT2,集団に揉まれながらもいいバトルだったと思うよ,和多个对手缠斗还能有这样的成绩，我觉得不错了。
ST_TalkResult/TAKUMI_MIDDLE_SEGMENT3,"いいバトルだったな
でも本当はあんたに勝ってほしかったよ","这场比赛真不错啊。
不过说老实话我还是希望你能赢。"
ST_TalkResult/IKETANI_WIN_SEGMENT1,すごい‥おまえの走りからは何かすごい力を感じるぜ,厉害……我能从你的驾驶中感觉到某种力量。
ST_TalkResult/IKETANI_WIN_SEGMENT2,"やっぱりすごいな！
レベルが違いすぎて参考にならない！","果然厉害啊！
我们不是同一类人，没法参考！"
ST_TalkResult/IKETANI_WIN_SEGMENT3,"なんて速さだ‥！
おまえの走りは期待を裏切らないな‥！","这也太快了……！
你的跑法不会辜负我对你的期望啊……！"
ST_TalkResult/IKETANI_WIN_SEGMENT4,"まいったな・・おまえの走りは
俺がもう理論をどうこう言えるレベルじゃねえぜ！","我服了……你的跑法
已经没办法让我从理论的角度来点评了！"
ST_TalkResult/IKETANI_BIGWIN_SEGMENT1,おまえならもっと強い走り屋と戦えるはずだぜ！,你应该有能力同更强的车手较量的！
ST_TalkResult/IKETANI_BIGWIN_SEGMENT2,圧倒的じゃないか！もっと強いやつに挑んでみようぜ！,完胜啊！试着挑战更强的家伙吧！
ST_TalkResult/IKETANI_BIGWIN_SEGMENT3,"オレの読みは的中だな！
おまえならぶっちぎると思っていたぜ！","跟我预料的一样！
我就觉得你可以甩开对手的！"
ST_TalkResult/IKETANI_BIGWIN_SEGMENT4,"まいったな・・おまえの走りは
俺がもう理論をどうこう言えるレベルじゃねえぜ！","我服了……你的跑法
已经没办法让我从理论的角度来点评了！"
ST_TalkResult/IKETANI_JUSTWIN_SEGMENT1,いまのバトル‥ギリギリだったな！,刚才的比赛……真是千钧一发啊……
ST_TalkResult/IKETANI_JUSTWIN_SEGMENT2,"うぉーっ！！
こんなにアツいバトルを見せてくれるなんて！！","噢噢！！
居然让我见到了如此激烈的对决！！"
