key,source,target
ST_SystemErrorMessage/None,[未定義],
ST_SystemErrorMessage/ERROR_0008,"ERROR 0008
Keychip Access Failed",
ST_SystemErrorMessage/ERROR_0010,"ERROR 0010
Unexpected GAME Program Failure",
ST_SystemErrorMessage/ERROR_0025,"ERROR 0025
Main board Malfunctioning",
ST_SystemErrorMessage/ERROR_0027,"ERROR 0027
Low Battery",
ST_SystemErrorMessage/ERROR_0090,"ERROR 0090
High CPU Temperature 換気のため、筐体内部のクリーニングが必要です。
店員をお呼びください。",
ST_SystemErrorMessage/ERROR_0090_02,"コンティニューできません。換気のため、筐体内部のクリーニングが必要です。
店員をお呼びください。(0091)",
ST_SystemErrorMessage/ERROR_0091,"ERROR 0091
Too High CPU Temperature 換気のため、筐体内部のクリーニングが必要です。
店員をお呼びください。",
ST_SystemErrorMessage/ERROR_0800,"ERROR 0800
その他予期せぬエラー 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。",
ST_SystemErrorMessage/ERROR_0801,"ERROR 0801
RTC アクセスエラー 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。",
ST_SystemErrorMessage/ERROR_0802,"ERROR 0802
ファイルアクセスエラー 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。",
ST_SystemErrorMessage/ERROR_0803,"ERROR 0803
ゲームの初期化に失敗しました 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。",
ST_SystemErrorMessage/ERROR_0905,"ERROR 0905
Graphic Function Not Found",
ST_SystemErrorMessage/ERROR_0907,"ERROR 0907
Not Enough System Memory",
ST_SystemErrorMessage/ERROR_0910,ERROR 0910 ,
ST_SystemErrorMessage/ERROR_0911,ERROR 0911 ,
ST_SystemErrorMessage/ERROR_0949,"ERROR 0949
Keychip Not Found",
ST_SystemErrorMessage/ERROR_1001,"ERROR 1001
ゲームの初期化に失敗しました 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。",
ST_SystemErrorMessage/ERROR_6401,"ERROR 6401
JVS I/O board is not connected to main board",
ST_SystemErrorMessage/ERROR_6402,"ERROR 6402
JVS I/O board does not fulfill the GAME spec",
ST_SystemErrorMessage/ERROR_6503,"ERROR 6503
読み込みに失敗しました。","ERROR 6503\r\nFailed to load."
