key,source,target
ST_SystemErrorMessage/None,[未定義],[Не определено]
ST_SystemErrorMessage/ERROR_0008,"ERROR 0008
Keychip Access Failed","ОШИБКА 0008
Сбой доступа к Keychip"
ST_SystemErrorMessage/ERROR_0010,"ERROR 0010
Unexpected GAME Program Failure","ОШИБКА 0010
Неожиданный сбой игровой программы"
ST_SystemErrorMessage/ERROR_0025,"ERROR 0025
Main board Malfunctioning","ОШИБКА 0025
Неисправность основной платы"
ST_SystemErrorMessage/ERROR_0027,"ERROR 0027
Low Battery","ОШИБКА 0027
Низкий заряд батареи"
ST_SystemErrorMessage/ERROR_0090,"ERROR 0090
High CPU Temperature 換気のため、筐体内部のクリーニングが必要です。
店員をお呼びください。","ОШИБКА 0090
Высокая температура процессора. Для вентиляции требуется очистка внутри автомата.
Пожалуйста, позовите сотрудника."
ST_SystemErrorMessage/ERROR_0090_02,"コンティニューできません。換気のため、筐体内部のクリーニングが必要です。
店員をお呼びください。(0091)","Невозможно продолжить. Для вентиляции требуется очистка внутри автомата.
Пожалуйста, позовите сотрудника. (0091)"
ST_SystemErrorMessage/ERROR_0091,"ERROR 0091
Too High CPU Temperature 換気のため、筐体内部のクリーニングが必要です。
店員をお呼びください。","ОШИБКА 0091
Критическая температура процессора. Для вентиляции требуется очистка внутри автомата.
Пожалуйста, позовите сотрудника."
ST_SystemErrorMessage/ERROR_0800,"ERROR 0800
その他予期せぬエラー 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。","ОШИБКА 0800
Неизвестная ошибка. Выключите питание и перезапустите.
Если не удаётся восстановить работу, свяжитесь с местом покупки или с указанным в инструкции «контактом»."
ST_SystemErrorMessage/ERROR_0801,"ERROR 0801
RTC アクセスエラー 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。","ОШИБКА 0801
Ошибка доступа к RTC. Выключите питание и перезапустите.
Если не удаётся восстановить работу, свяжитесь с местом покупки или с указанным в инструкции «контактом»."
ST_SystemErrorMessage/ERROR_0802,"ERROR 0802
ファイルアクセスエラー 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。","ОШИБКА 0802
Ошибка доступа к файлу. Выключите питание и перезапустите.
Если не удаётся восстановить работу, свяжитесь с местом покупки или с указанным в инструкции «контактом»."
ST_SystemErrorMessage/ERROR_0803,"ERROR 0803
ゲームの初期化に失敗しました 電源を切り、再起動してください。
復旧できない場合は、製品購入先または本書記載の「お問合せ先」に連絡してください。","ОШИБКА 0803
Сбой инициализации игры. Выключите питание и перезапустите.
Если не удаётся восстановить работу, свяжитесь с местом покупки или с указанным в инструкции «контактом»."
ST_SystemErrorMessage/ERROR_0905,"ERROR 0905
Graphic Function Not Found","ОШИБКА 0905
Графическая функция не найдена"
