key,source,target
story_RT_1_7/1_7_1-01,每次都这样，真是不合时宜！！,
story_RT_1_7/1_7_1-02,今天凉介和启介都不在……,
story_RT_1_7/1_7_1-03,就让我久违地展示下实力……！！,
story_RT_1_7/1_7_1-04,咳……已经被追上来了吗……！！,
story_RT_1_7/1_7_1-05,好快……这家伙和之前完全不一样……！！,
story_RT_1_7/1_7_1-06,过弯的速度差得太远了……！！,
story_RT_1_7/1_7_1-07,不行……不在一个档次……,
story_RT_1_7/1_7_1-08,可恶……,
story_RT_1_7/1_7_2-01,……让我见识一下真正的驾驶技术,
story_RT_1_7/1_7_2-02,我就是为了这个……特意来这里的,
story_RT_1_7/1_7_2-03,你比以前更敏锐了……,
story_RT_1_7/1_7_2-04,好快的速度……但是……,
story_RT_1_7/1_7_2-05,只靠速度，是无法取胜的……！！,
story_RT_1_7/1_7_2-06,怎么了……就这样而已吗……？,
story_RT_1_7/1_7_2-07,战胜D计划双王牌的车手……！！,
story_RT_1_7/1_7_2-08,……也就到此为止了！！,
story_RT_1_7/1_7_2-09,……什……么！？,
story_RT_1_7/1_7_3-01,彻……不重新考虑下吗……,
story_RT_1_7/1_7_3-02,别再让我重复相同的话了，淳郎……,
story_RT_1_7/1_7_3-03,我会以和过去不同的方式对待汽车……,
story_RT_1_7/1_7_3-04,是吗……,
story_RT_1_7/1_7_3-05,嗯……后面来了一辆车,
story_RT_1_7/1_7_3-06,好快……！！这家伙，是个高手……！！,
story_RT_1_7/1_7_3-07,彻……！？,
story_RT_1_7/1_7_3-08,我已经决定不再比赛了……,
story_RT_1_7/1_7_3-09,……知道了,
story_RT_1_7/1_7_3-10,这人……！！让你见识下本地人的骨气……！！,
story_RT_1_7/1_7_3-11,咳……！！这过弯的速度是什么情况！！,
story_RT_1_7/1_7_3-12,呜……！！,
story_RT_1_7/1_7_3-13,怎么能在这里！！被你超车！！,
story_RT_1_7/1_7_3-14,突然，D计划的两人在他们的脑海里一闪而过……,
story_RT_1_7/1_7_4-01,好，来吧……马力全开上坡道！！,
story_RT_1_7/1_7_4-02,呜……你也要在出弯时和我并排吗……！！,
story_RT_1_7/1_7_4-03,重视出弯的过弯技巧……,
story_RT_1_7/1_7_4-04,D计划的高桥启介是这么说的……,
story_RT_1_7/1_7_4-05,这是基础中的基础……,
story_RT_1_7/1_7_4-06,我没有理解到的东西……,
story_RT_1_7/1_7_4-07,要在这场比赛中学会……！！,
story_RT_1_7/1_7_4-08,呜……！！果然紧追不舍……！！,
story_RT_1_7/1_7_4-09,我现在，热血沸腾……！！,
story_RT_1_7/1_7_4-10,彻……看到了吗……！！,
story_RT_1_7/1_7_4-11,比赛是多么的有趣……！！,
story_RT_1_7/1_7_4-12,一定要甩开你……！！,
story_RT_1_7/1_7_4-13,能超车的话……就来试试！！,
story_RT_1_7/1_7_4-14,什……么,
story_RT_1_7/1_7_5-01,手在颤抖……,
story_RT_1_7/1_7_5-02,冷静下来……稳住自己的节奏……,
story_RT_1_7/1_7_5-03,发挥自己的全部实力比胜负更重要……！！,
story_RT_1_7/1_7_5-04,那天晚上的冲撞只有一瞬间撞到了头……！！,
story_RT_1_7/1_7_5-05,我不会因此而害怕……！！,
story_RT_1_7/1_7_5-06,我现在状态特别好……能有最棒的表现……！！,
story_RT_1_7/1_7_5-07,来吧……接下来才是正题……！！,
story_RT_1_7/1_7_5-08,咳……甩不掉……究竟是什么人……！！,
story_RT_1_7/1_7_5-09,呜！！ ,
story_RT_1_7/1_7_5-10,靠奈保买到的轮胎，现在也处于最好的状态！！,
story_RT_1_7/1_7_5-11,这样一来……就用最后的刹车一决胜负……！！,
story_RT_1_7/1_7_5-12,……,
story_RT_1_7/1_7_5-13,……我还是，不行啊,
story_RT_1_7/1_7_5-14,果然……心中某处已经满足了……,
