key,source,target
Str_WD_Load_Story_01_Prologue/1_1_1,"これは、のちに伝説と呼ばれる走り屋の――
記録には残らなかった初めてのバトルである。","Это первая гонка, не сохранившаяся в записях, но позже названная началом легенды уличного гонщика."
Str_WD_Load_Story_01_Prologue/1_1_2,"偶然出会った走り屋を呼び止める秋山渉。
そのテクニックに驚いた渉は、ある提案をしてくる。","Встретив случайно гонщика, Акияма Ватару окликает его. Удивлённый его техникой, Ватару делает предложение."
Str_WD_Load_Story_01_Prologue/1_1_3,"秋名の峠を下っていた池谷浩一郎。
彼は先日ぶっちぎられた走り屋と偶然の再会を果たす。","Икетани Коичиро ехал вниз по перевалу Акина. Там он случайно вновь встретил гонщика, который недавно оставил его позади."
Str_WD_Load_Story_01_Prologue/1_1_4,"チームメンバーを引き連れ、ひとりの走り屋を追う池谷。
その目的は、チームへの勧誘だった。",Вместе с членами команды Икетани преследует уличного гонщика. Его цель — пригласить его в команду.
Str_WD_Load_Story_01_Prologue/1_1_5,"秋名山に現れた謎の走り屋チーム。
偵察に飽きたメンバーは暇つぶしの相手を探していた。","На горе Акина появляется таинственная команда гонщиков. Устав от разведки, они искали себе соперника ради развлечения."
Str_WD_Load_Story_01_Prologue/1_2_1,"秋名視察の帰り道、高橋涼介は今後の遠征プランを練り直していた。
そこに、ひとりの走り屋が現れる。",Появившийся перед ними гонщик представился как член команды «Спид Старз».
Str_WD_Load_Story_01_Prologue/1_2_2,"赤城レッドサンズを下した謎の青年に沸き立つ秋名山。
池谷は彼をチームに迎えたいと考えているようだ。","После напряжённой гонки, Икетани признаёт превосходство соперника."
Str_WD_Load_Story_01_Prologue/1_2_3,"快晴の秋名山に現れた白黒のハチロク。
彼はどうやら、どこかに向かっているようだ。","Встретив «легендарного восьмёрку», команда в изумлении. Их ждёт настоящее испытание."
Str_WD_Load_Story_01_Prologue/1_2_4,"突如手元に届いた挑戦状。
その送り主は妙義山の走り屋だった。",Кейсуке Такахаси с «FD3S» врывается в гонку. Его мастерство поражает всех.
Str_WD_Load_Story_01_Prologue/1_2_5,"バトルの連絡をしてきたのは、ナイトキッズの庄司慎吾。
夜の妙義山に、危険な香りが立ち込める。",В результате гонки все признают силу команды «Рэд Санз».
Str_WD_Load_Story_01_Prologue/1_3_1,"見通しの悪い碓氷の峠道。
そこに現れたのは、ここをホームとする走り屋たち。","Чтобы сразиться с Кейсуке, Ватару обращается к знакомым. Он просит помощи у Такуми."
Str_WD_Load_Story_01_Prologue/1_3_2,"青いシルエイティから降りてきたのは二人組の走り屋。
碓氷峠最速を名乗る彼女たちは、再び勝負を挑んでくる。","Такуми, равнодушный к гонкам, колеблется. Но всё же соглашается выйти на старт."
Str_WD_Load_Story_01_Prologue/1_3_3,"白い彗星を探しに訪れた赤城山。
そこに現れたのは、かつて秋名の偵察に来ていた中村賢太だった。",Гонка между Такуми и Кейсуке начинается. Ветер на склонах Акины оживает от рева моторов.
Str_WD_Load_Story_01_Prologue/1_3_4,"赤城山に現れた黄色いFD。
ドライバーの高橋啓介は、少し苛立っているようだ。",Такуми поражает всех своим мастерством. Его техника дрифта вызывает восхищение.
Str_WD_Load_Story_01_Prologue/1_3_5,"レッドサンズのメンバーが去った静かな赤城山。
そこに鳴り響くのは、聞き覚えのあるターボ音だった。","Кейсуке, не справившись с соперником, признаёт поражение. Его гордость поколеблена."
