key,source,target
Str_WD_TuningStyle_Description_Technical/001,"超高回転型のレース用エンジンに
載せ換えて、パワーUP！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！","换上超高转速竞赛用引擎，
增强动力！
此改装适用于
“技巧”类型
“下坡”路线"
Str_WD_TuningStyle_Description_Technical/002,"ターボを装着し、パワーUP！
『テクニカル』レイアウト
『上り』ルート
に適したチューニング！","安装涡轮，增强动力！
此改装适用于
“技巧”类型
“上坡”路线"
Str_WD_TuningStyle_Description_Technical/003,"スーパーチャージャーを装着し、
パワーUP！
『テクニカル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！","安装机械增压器，增强动力！
此改装适用于
“技巧”类型
“逆时针/顺时针”，“去路/归路”路线"
Str_WD_TuningStyle_Description_Technical/004,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！","调整每个零件的重量平衡，
使引擎运转更顺畅，增强动力！
此改装适用于
“技巧”类型
“下坡”路线"
Str_WD_TuningStyle_Description_Technical/005,"タービンの口径を大きくし、
大幅にパワーUP！
『テクニカル』レイアウト
『上り』ルート
に適したチューニング！","增大涡轮口径，大幅增强动力！
此改装适用于
“技巧”类型
“上坡”路线"
Str_WD_TuningStyle_Description_Technical/006,"純正をハイフロー化したタービンを装着し、
バランス良くパワーUP！
『テクニカル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！","安装原厂高通量涡轮，
均衡增强动力！
此改装适用于
“技巧”类型
“逆时针/顺时针”，“去路/归路”路线"
Str_WD_TuningStyle_Description_Technical/007,"ピックアップ重視の小径タービンを装着し、
レスポンスUP！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！","安装重视扭力的小型涡轮
增强动力响应！
此改装适用于
“技巧”类型
“下坡”路线"
Str_WD_TuningStyle_Description_Technical/008,"アブレイダブルシールを採用したタービンを
装着することで効率を上げ、パワーUP
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！","安装采用可磨耗封严涂层的涡轮，
使得效率提高，增强动力！
此改装适用于
“技巧”类型
“下坡”路线"
Str_WD_TuningStyle_Description_Technical/009,"ターボラグが無くなり、加速が鋭くなります！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！","消除涡轮迟滞，提升加速能力！
此改装适用于
“技巧”类型
“下坡”路线"
Str_WD_TuningStyle_Description_Technical/010,"ターボラグが無くなり、加速が鋭くなります！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！","消除涡轮迟滞，提升加速能力！
此改装适用于
“技巧”类型
“下坡”路线"
Str_WD_TuningStyle_Description_Technical/011,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！","调整每个零件的重量平衡，
使引擎运转更顺畅，增强动力！
此改装适用于
“技巧”类型
“下坡”路线"
Str_WD_TuningStyle_Description_Technical/012,"タービンの口径を大きくし、
大幅にパワーUP！
『テクニカル』レイアウト
『上り』ルート
に適したチューニング！","增大涡轮口径，大幅增强动力！
此改装适用于
“技巧”类型
“上坡”路线"
Str_WD_TuningStyle_Description_Technical/013,"タービンを交換した後にピークパワーをあえて下げ、
過渡特性とバランスを向上！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！","通过更换涡轮有意识地下调动力峰值，
使动力平顺性及均衡性得到提高！
此改装适用于
“技巧”类型
“下坡”路线"
Str_WD_TuningStyle_Description_Technical/014,"純正のシーケンシャルツインターボを
ハイフロー化して再組立てし、パワーUP！
『テクニカル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！","将原厂序列式双涡轮进行高通量化后重新组装，
增强动力！
此改装适用于
“技巧”类型
“逆时针/顺时针”，“去路/归路”路线"
Str_WD_TuningStyle_Description_Technical/015,"V型12気筒の大排気量NAエンジンへ載せ替え、
大幅にパワーUP！","替换安装V12大排量自吸三转子引擎，
大幅增强动力！"
Str_WD_TuningStyle_Description_Technical/016,"タービンの口径を大きくし、
大幅にパワーUP！","增大涡轮口径，
大幅增强动力！"
