key,source,target
ST_GameMessage/﻿Operation_Confirm,決定,确定
ST_GameMessage/Operation_Confirm2,完了,结束
ST_GameMessage/Operation_Select,選択,选择
ST_GameMessage/Operation_Back,戻る,返回
ST_GameMessage/Operation_ReturningToTitle,"タイトル
に戻る","返回
标题画面"
ST_GameMessage/Operation_Next,次へ,下一步
ST_GameMessage/Operation_Close,閉じる,关闭
ST_GameMessage/Operation_Switch,切替,切换
ST_GameMessage/Operation_InitializeSettings,初期設定,初始设置
ST_GameMessage/Operation_PressAndHoldToSimpleConfig,"長押し：
簡易コンフィグ","长按：
简易设置"
ST_GameMessage/Operation_DressUpShop,"ドレスアップ
ショップ","外观改装
商店"
ST_GameMessage/Operation_StorySkip,"長押しで
スキップ","长按后
跳过"
ST_GameMessage/RewardWindow_Receive,XX個受け取ります,获得了XX个
ST_GameMessage/RewardWindow_ConvertTokens,最大所持数を超えて獲得した報酬を、キャッシュに変換します,超过最大拥有数获得的报酬，将转换成货币
ST_GameMessage/RewardWindow_InstallParts,ショップ＆カスタマイズで付け替えができます,可在商店&自定义画面进行替换
ST_GameMessage/RewardDialog_Receive,報酬を受け取りました,获得报酬
ST_GameMessage/BannerWindow_ViewDetails,詳細表示,详细信息
ST_GameMessage/ResultGrade_InstoreBattleRank,店内バトルランク昇格！！,店内对战等级升级！！
ST_GameMessage/ResultGrade_OnlineBattleRank,オンラインバトルランク昇格！！,在线对战等级升级！！
ST_GameMessage/ResultGrade_StoryRank,ストーリーランク昇格！！,剧情等级升级！！
ST_GameMessage/ResultGrade_TrialRank,トライアルランク昇格！！,计时赛等级升级！！
ST_GameMessage/ResultGrade_Promoted,XXに昇格しました！,升级为XX了！
ST_GameMessage/ErrorCode_8307,"ERROR 8307
通信エラーが発生しました。
今回のプレイデータは正しく保存されなかった可能性があります。","ERROR 8307
通信エラーが発生しました
今回のプレイデータは正しく保存されなかった可能性があります"
ST_GameMessage/DT_StoryClearCond_DefeatRival,<ClearTextRivalName>{name}</>に勝利せよ,战胜<ClearTextRivalName>{name}</>
ST_GameMessage/DT_StoryClearCond_OvertakeRival,<ClearTextRivalName>{name}</>を追い抜け,超越<ClearTextRivalName>{name}</>
ST_GameMessage/DT_StoryClearCond_DontBeOvertaken,<ClearTextRivalName>{name}</>に抜かれるな,别被<ClearTextRivalName>{name}</>超越
ST_GameMessage/DT_StoryClearCond_DontFallBehind,<ClearTextRivalName>{name}</>に<ClearTextValue>{value}</>ｍ以上離されるな,别被<ClearTextRivalName>{name}</>甩开<ClearTextValue>{value}</>米以上
ST_GameMessage/DT_StoryClearCond_DefeatMoreThan,<ClearTextRivalName>{name}</>を<ClearTextValue>{value}</>ｍ以上離して勝利せよ,把<ClearTextRivalName>{name}</>甩开<ClearTextValue>{value}</>米以上获得胜利
ST_GameMessage/DT_StoryClearCond_FinishRaceWithin,<ClearTextRivalName>{name}</>と<ClearTextValue>{value}</>ｍ以内でゴールせよ,同<ClearTextRivalName>{name}</>保持在<ClearTextValue>{value}</>米以内冲过终点
ST_GameMessage/RaceTime_Overall,総合,综合
ST_GameMessage/RaceTime_Car,車種,车型
ST_GameMessage/RaceTime_Instore,店内,
ST_GameMessage/RaceTime_PersonalBest,自己ベスト,个人最佳成绩
ST_GameMessage/RaceTime_Ghost,ゴースト,幽灵车
ST_GameMessage/RaceTime_Line Guide,ラインガイド,辅助线
ST_GameMessage/DT_Advertise_InstoreBattleMode,現在、店内バトルモードはプレイできません。,現在、店内バトルモードはプレイできません
ST_GameMessage/DT_Advertise_OnlineCantPlayed,"現在、ネットワークを使用するモードの
プレイが制限されています",当前，需要使用网络模式的游玩受到限制
