key,source,target
story_RT_1_2/1_2_1-01,こいつも秋名の走り屋なのか‥？,"Неужели он тоже гонщик с Акины...?"
story_RT_1_2/1_2_1-02,ふっ‥お手並み拝見といこう,"Хм... посмотрим, на что ты способен."
story_RT_1_2/1_2_1-03,後ろについてみてわかった‥悪くない腕だ,"Стоило встать за ним — понял, что руки у него неплохие."
story_RT_1_2/1_2_1-04,しかし‥バトル慣れはしていないようだな‥,"Но, похоже, к сражениям он ещё не привык..."
story_RT_1_2/1_2_1-05,なるほど‥よくわかった‥,"Понятно... теперь ясно..."
story_RT_1_2/1_2_1-06,おもしろいことになりそうだ‥,"Похоже, будет интересно..."
story_RT_1_2/1_2_2-01,おまえと拓海が入ってくれたらなあ‥,"Эх, если бы ты и Такуми вступили к нам..."
story_RT_1_2/1_2_2-02,"スピードスターズも
本格的な走りのチームになれるのに‥",Тогда и Акина Спид Старз могли бы стать настоящей гоночной командой...
story_RT_1_2/1_2_2-03,池谷！！後ろからばかっぱやい黒いのが来てるぞ！,Икэтани!! Сзади мчится какая-то чёрная тачка!
story_RT_1_2/1_2_2-04,げえっ！R３２じゃねえか！一体何者だァ！？,Чёрт! Да это же R32! Кто он вообще такой!?
story_RT_1_2/1_2_2-05,どけ！てめえらはオレの獲物じゃねえ！,Пошли прочь! Вы не моя добыча!
story_RT_1_2/1_2_2-06,ほう‥おまえはなかなかやるようだな‥,"Хо... да ты неплох, смотрю..."
story_RT_1_2/1_2_2-07,血が沸騰してくるぜ‥！！,Кровь прямо закипает...!!
story_RT_1_2/1_2_2-08,ちっ‥もうすぐ峠が終わる‥,Чёрт... перевал уже почти кончился...
story_RT_1_2/1_2_2-09,おい、おまえ！この勝負、預けとくぜ‥！！,"Эй, ты! Этот заезд я оставлю на потом...!!"
story_RT_1_2/1_2_3-01,拓海くんてさー、上手だよね、クルマの運転,"Такуми-кун, ты ведь классно водишь, да?"
story_RT_1_2/1_2_3-02,え‥？そうか？,Э...? Да ну?
story_RT_1_2/1_2_3-03,"なつきね、いつもはクルマ酔いするんだけど、
今日はそれがないもん","Знаешь, Нацуки обычно укачивает в машине... а сегодня вот нет."
story_RT_1_2/1_2_3-04,‥オレはただ‥いつもの走り方をしてるだけだよ,"Я ведь просто еду, как всегда..."
story_RT_1_2/1_2_3-05,後ろ‥ずっとついてきてる‥,Сзади... он всё время держится за мной...
story_RT_1_2/1_2_3-06,それも、かなりうまい‥,Причём очень умело...
story_RT_1_2/1_2_3-07,"身体がうずく‥
昨日の交流戦から、なんかおかしいや‥","Тело зудит... 
С вчерашней гонки что-то со мной не так..."
story_RT_1_2/1_2_3-08,ねえねえ、着いたらなにしようか？,"Эй, а что будем делать, когда приедем?"
story_RT_1_2/1_2_3-09,隣に茂木もいるし‥今日は、おとなしく下がろう‥,Рядом ещё и Моги сидит... сегодня лучше сбавить обороты...
story_RT_1_2/1_2_3-10,海、楽しみだねー！,Море! Жду не дождусь!
story_RT_1_2/1_2_4-01,ストレートでちぎったらもったいねえからな‥,Нет смысла рвать его на прямой...
story_RT_1_2/1_2_4-02,本当のスタートはコーナーに入ってからだ！！,Настоящий старт — только когда входишь в поворот!!
story_RT_1_2/1_2_4-03,さあ！いくぜ！,Ну что ж! Погнали!
story_RT_1_2/1_2_4-04,いいぜ‥そうでなくっちゃな！！,Отлично... вот так-то лучше!!
story_RT_1_2/1_2_4-05,全身の血が沸騰したようなハイテンション！！,Будто вся кровь в теле закипела — какой драйв!!
story_RT_1_2/1_2_4-06,これこそバトルだ！！,Вот это я понимаю — настоящая битва!!
story_RT_1_2/1_2_4-07,バカな！？フロントタイヤの応答性が‥！！,Чёрт!? Передние колёса перестали слушаться...!!
story_RT_1_2/1_2_4-08,負ける‥？オレとGT-Rが‥？,Проиграю...? Я и мой GT-R...?
story_RT_1_2/1_2_4-09,そんなことが‥あっていいわけねぇだろォ！！,"Такого... не может быть, чтоб я это допустил!!"
story_RT_1_2/1_2_4-10,ッ！くそったれえ！！,Тьфу! Чёрт подери!!
story_RT_1_2/1_2_4-11,ちくしょう‥板金何万円コースだ‥こりゃ‥,Чёрт... ремонт кузова на десятки тысяч йен выйдет...
story_RT_1_2/1_2_5-01,いいぜ、先に行きな‥,Ладно... проезжай вперёд.
story_RT_1_2/1_2_5-02,おーおー元気いいなァ！,"Ого-го, какой ты резвый!"
story_RT_1_2/1_2_5-03,オラオラ！さっきの元気はどこへ行った！！,"Эй! Куда делся твой задор, а!?"
story_RT_1_2/1_2_5-04,"わかったかよ‥ 
抜く気になりゃーいつでも抜けるんだ","Понял, да?.. 
Захочу — обгоню тебя в любой момент!"
story_RT_1_2/1_2_5-05,はりつかれた‥！！,Он прилип ко мне...!!
story_RT_1_2/1_2_5-06,くそッ！！恐ろしいぜ！！,Чёрт!! Как же страшно!!
story_RT_1_2/1_2_5-07,なぜだ！！プレッシャーをかけても乱れねえ‥,"Почему!? Я давлю, а он совсем не срывается..."
story_RT_1_2/1_2_5_08,こいつ‥何かが根本的に違う‥！！,"Он... в корне другой, совсем не как все...!!"
