key,source,target
story_RT_1_10/1_10_1-01,"なんか、なりゆきでバトルすることに
なっちゃったけどさ‥",感觉自然而然地就要和人比赛了……
story_RT_1_10/1_10_1-02,"彼女たちとの会話を邪魔した罪は
許されないよ‥",打扰我和姑娘们聊天，饶不了你
story_RT_1_10/1_10_1-03,"サーキットの走行会で鍛えたボクに
勝てるかな‥？",我可是在赛道上练习过的，你能赢吗……？
story_RT_1_10/1_10_1-04,"思ったよりはやるねえ 
地元の走り屋も‥",比想象中厉害啊，本地的车手……
story_RT_1_10/1_10_1-05,"まあね 
けっこういいつっこみしてるよ",是啊，开得很猛呢
story_RT_1_10/1_10_1-06,でも楽勝でついて行けるからね‥,不过我也能轻松跟上……
story_RT_1_10/1_10_1-07,"あらためて自分のテクに
自信持っちゃったよォ",看来我确实技术不错呢
story_RT_1_10/1_10_1-08,ボクってやっぱり速かったんだね‥,我果然很快呢……
story_RT_1_10/1_10_1-09,かなりかっこいいかも‥,说不定还挺帅……
story_RT_1_10/1_10_1-10,"ついて来れるかよ!! 
サーキット仕込みのフルブレーキング!!",能跟上吗！！在赛道上练成的全力刹车！！
story_RT_1_10/1_10_1-11,ふーう‥さすがに心臓バクバクしたよォ,嗯……心脏还是跳得很厉害的
story_RT_1_10/1_10_1-12,"どんなもんだい 
絶対について来れるわけ‥あれ‥？",厉害吧，绝对不可能跟……哎……？
story_RT_1_10/1_10_1-13,"うわっ!! すぐ後ろにいるよ‥
どういうこと？",呜哇！！就在后面……什么情况？
story_RT_1_10/1_10_1-14,"なまいきな‥ボクについて来れると
思ったら大マチガイだぞ",还挺狂……别以为你能跟得上我
story_RT_1_10/1_10_1-15,すぐに見えなくしてやる!!,马上就把你甩开！！
story_RT_1_10/1_10_1-16,"この先の直線がチャンスだ!! 
ふりきるぞォ!!",前面的直道就是机会！！油门全开！！
story_RT_1_10/1_10_1-17,"ありゃ‥はなれたと思ったのに
気がつけばいきなり近くにいる!?",哎呀……还以为甩开了结果就在旁边！？
story_RT_1_10/1_10_1-18,"サーキットで鍛えたボクのブレーキングが‥
峠だけの走り屋に負けてる‥!?","我在赛道上练出来的全力刹车……
竟然会输给只跑山道的车手……！？"
story_RT_1_10/1_10_1-19,"いや、ブレーキングは僕の得意技なんだ‥
本気出せば負けない‥","不，我最擅长的就是刹车……
拿出全力就不会输……"
story_RT_1_10/1_10_1-20,"120パーセント集中するぞ‥サーキットの
第1コーナーにつっこむ時みたいに‥","集中120分的精神……
就像赛道上进入第一个弯道时那样……"
story_RT_1_10/1_10_1-21,今だっ!! 行くぞォ必殺の‥,就是现在！！冲啊，必杀……
story_RT_1_10/1_10_1-22,超‥絶‥ウルトラスーパーレイトブレーキン‥,超……绝……究极刹车……
story_RT_1_10/1_10_1-23,どひゃーっ,呃啊
story_RT_1_10/1_10_1-24,ひーっ だめだ 動揺した,噫，不行，好可怕
story_RT_1_10/1_10_1-25,うわ かっこわる,呜哇，太丢人了
story_RT_1_10/1_10_2-01,真子、わかってるわよね,真子，你明白的吧
story_RT_1_10/1_10_2-02,もちろん 最初から全開で行くよ‥!!,当然，一开始就要全力以赴
story_RT_1_10/1_10_2-03,そうこなくっちゃ!!,就得这样！！
story_RT_1_10/1_10_2-04,"さあ、今日もガツンと一発
かましてやろうよ‥!!",来吧，今天也要好好露一手……！！
story_RT_1_10/1_10_2-05,OK‥!!,OK……！！
story_RT_1_10/1_10_2-06,真子、いいよ!! やばいくらいキレてる!!,真子，很好！！你现在状态绝佳！！
story_RT_1_10/1_10_2-07,次のS字でもっと差をつけるよ!!,在下一个S弯拉开距离！！
story_RT_1_10/1_10_2-08,うん‥!!,嗯……！！
story_RT_1_10/1_10_2-09,いい感じ!! このまま飛ばしてこう!!,感觉不错！！就这样冲下去！！
story_RT_1_10/1_10_2-10,次のC121で振り切るよ!!,在之后的C121甩开他！！
story_RT_1_10/1_10_2-11,まかせて‥!!,交给我吧……！！
story_RT_1_10/1_10_2-12,くっ‥!!,呜……！！
story_RT_1_10/1_10_2-13,これでも離せないなんて‥!!,这样都甩不掉吗……！！
story_RT_1_10/1_10_2-14,まさかっ!!,怎么会！！
story_RT_1_10/1_10_2-15,‥まだ諦めない!!,……还没完！！
story_RT_1_10/1_10_2-16,真子、あんたやっぱりすごいよ!!,真子，你果然厉害！！
