key,source,target
ST_GameMessage/﻿Operation_Confirm,決定,Подтвердить
ST_GameMessage/Operation_Confirm2,完了,Завершить
ST_GameMessage/Operation_Select,選択,Выбрать
ST_GameMessage/Operation_Back,戻る,Назад
ST_GameMessage/Operation_ReturningToTitle,"タイトル
に戻る","Титульный
экран"
ST_GameMessage/Operation_Next,次へ,Далее
ST_GameMessage/Operation_Close,閉じる,Закрыть
ST_GameMessage/Operation_Switch,切替,Переключить
ST_GameMessage/Operation_InitializeSettings,初期設定,Сброс
ST_GameMessage/Operation_PressAndHoldToSimpleConfig,"長押し：
簡易コンフィグ",Нажмите и удерживайте для простой настройки
ST_GameMessage/Operation_DressUpShop,"ドレスアップ
ショップ",Магазин
ST_GameMessage/Operation_StorySkip,"長押しで
スキップ",Нажмите и удерживайте для пропуска
ST_GameMessage/RewardWindow_Receive,XX個受け取ります,XX получено
ST_GameMessage/RewardWindow_ConvertTokens,最大所持数を超えて獲得した報酬を、キャッシュに変換します,"Награды, превышающие максимальное количество, будут преобразованы в деньги"
ST_GameMessage/RewardWindow_InstallParts,ショップ＆カスタマイズで付け替えができます,Магазин и настройка доступны для замены
ST_GameMessage/RewardDialog_Receive,報酬を受け取りました,Награда получена
ST_GameMessage/BannerWindow_ViewDetails,詳細表示,Просмотр деталей
ST_GameMessage/ResultGrade_InstoreBattleRank,店内バトルランク昇格！！,Повышение ранга в заведении
ST_GameMessage/ResultGrade_OnlineBattleRank,オンラインバトルランク昇格！！,Повышение ранга в онлайн-битвах
ST_GameMessage/ResultGrade_StoryRank,ストーリーランク昇格！！,Повышение ранга в истории
ST_GameMessage/ResultGrade_TrialRank,トライアルランク昇格！！,Повышение ранга в испытаниях
ST_GameMessage/ResultGrade_Promoted,XXに昇格しました！,XX повышен в ранге
ST_GameMessage/ErrorCode_8307,"ERROR 8307
通信エラーが発生しました。
今回のプレイデータは正しく保存されなかった可能性があります。","ОШИБКА 8307
Произошла ошибка связи.
Данные этой игры могли не сохраниться корректно."
ST_GameMessage/DT_StoryClearCond_DefeatRival,<ClearTextRivalName>{name}</>に勝利せよ,Победить <ClearTextRivalName>{name}</>
ST_GameMessage/DT_StoryClearCond_OvertakeRival,<ClearTextRivalName>{name}</>を追い抜け,Обогнать <ClearTextRivalName>{name}</>
ST_GameMessage/DT_StoryClearCond_DontBeOvertaken,<ClearTextRivalName>{name}</>に抜かれるな,"Не дать <ClearTextRivalName>{name}</> 
обогнать вас"
ST_GameMessage/DT_StoryClearCond_DontFallBehind,<ClearTextRivalName>{name}</>に<ClearTextValue>{value}</>ｍ以上離されるな,"Не отставать от <ClearTextRivalName>{name}</>
более чем на <ClearTextValue>{value}</>м"
ST_GameMessage/DT_StoryClearCond_DefeatMoreThan,<ClearTextRivalName>{name}</>を<ClearTextValue>{value}</>ｍ以上離して勝利せよ,"Победить <ClearTextRivalName>{name}</> 
с отрывом более <ClearTextValue>{value}</>м"
ST_GameMessage/DT_StoryClearCond_FinishRaceWithin,<ClearTextRivalName>{name}</>と<ClearTextValue>{value}</>ｍ以内でゴールせよ,"Финишировать в пределах <ClearTextValue>{value}</>м
от <ClearTextRivalName>{name}</>"
ST_GameMessage/RaceTime_Overall,総合,Общий
ST_GameMessage/RaceTime_Car,車種,Автомобиль
ST_GameMessage/RaceTime_Instore,店内,В магазине
ST_GameMessage/RaceTime_PersonalBest,自己ベスト,Личный рекорд
ST_GameMessage/RaceTime_Ghost,ゴースト,Призрак
ST_GameMessage/RaceTime_Line Guide,ラインガイド,Направляющая линия
ST_GameMessage/DT_Advertise_InstoreBattleMode,現在、店内バトルモードはプレイできません。,"В настоящее время режим локальных баттлов недоступен."
ST_GameMessage/DT_Advertise_OnlineCantPlayed,"現在、ネットワークを使用するモードの
プレイが制限されています","В настоящее время игра в сетевых
режимах ограничена"
ST_GameMessage/DT_Advertise_OnlineCantUsed,"現在、ネットワークを使用するモードのプレイ、
Ａｉｍｅの使用はできません。","В настоящее время сетевые режимы и
использование Aime недоступны."
ST_GameMessage/DT_Advertise_InstoreTournament,"「店内バトル」大会開催中！
このシートは【{SeatNumber}】です","Проходит турнир «Локальные баттлы»!
Это место 【{SeatNumber}】"
ST_GameMessage/DT_Advertise_TournamentError,"通信エラー発生中
現在、大会モードはプレイできません","Ошибка связи
Турнирный режим сейчас недоступен"
ST_GameMessage/Operation_Ranking,ランキング,Рейтинг
ST_GameMessage/DT_InstoreBattlePolicy_AnyoneWelcome,誰でも歓迎！,Все приветствуются!
ST_GameMessage/DT_InstoreBattlePolicy_MoreParts,ドレスアップ強化中！,Улучшение нарядов в процессе!
ST_GameMessage/DT_InstoreBattlePolicy_RaceHard,本気で勝負！,Серьезная борьба!
ST_GameMessage/DT_InstoreBattlePolicy_Compete,連戦希望！,Надеемся на серию боев!
ST_GameMessage/DT_InstoreBattlePolicy_CollectBattleGift,バトルギフト収集中！,Сбор подарков за бои!
ST_GameMessage/AimeTouch_DataCannotSaved,※プレイしたあとにデータを保存することはできません,※После игры данные не будут сохранены
ST_GameMessage/AimeTouch_PleaseHoldYourAime,Aimeをリーダーにかざしてください,Приложите Aime к считывателю
ST_GameMessage/AimeTouch_ByUsingAime,Aimeを利用することで、車のチューニングやプレイデータを保存することができます,"Используя Aime, вы можете сохранить настройки автомобиля
и игровые данные"
ST_GameMessage/ComCoin_PleaseInsert,"コインを<Yellow>{Num}</>枚
投入してください","Вставьте <Yellow>{Num}</>
монет(ы)"
ST_GameMessage/CreateCard_PlayWithoutData,"データを使用せずにプレイします
今回のプレイは保存されません","Играть без данных
Эта игра не будет сохранена"
ST_GameMessage/AimeLicense_DoYouPlay,このデータで遊びますか？,Играть с этими данными?
ST_GameMessage/ComButtonSelect_Yes,はい,Да
ST_GameMessage/ComButtonSelect_No,いいえ,Нет
ST_GameMessage/AimeDialog_ConfirmCode,アクセスコード確認,Подтверждение кода доступа
ST_GameMessage/CourseSel_ToUnlockShop,フルチューン到達でカーショップ解放！,Доступ к магазину автомобилей будет открыт при достижении полного тюнинга!
ST_GameMessage/CourseSel_AvailableInStore,ショップ＆カスタマイズにて追加購入できます,"Доступно для дополнительной покупки
в магазине и для настройки"
ST_GameMessage/AimeDialog_RegisterLicense,新規免許証登録,Регистрация нового водительского удостоверения
ST_GameMessage/AimeDialog_DoYouRegister,免許証データを登録しますか？,Вы хотите зарегистрировать данные водительского удостоверения?
ST_GameMessage/AimeDialog_TermsOfUse,プレイ規約,Правила игры
ST_GameMessage/AimeDialog_DoYouAgree,プレイ規約に同意しますか？,Вы соглашаетесь с правилами игры?
ST_GameMessage/AimeAccess_ConfirmCode,サービスサイトの登録に必要なアクセスコードの確認,"Подтверждение кода доступа, необходимого для регистрации на сайте службы"
ST_GameMessage/AimeAccess_WithStartButton1,スタートボタンで選択中のアクセスコードを表示します,Кнопка «Старт» отобразит выбранный код доступа
ST_GameMessage/AimeAccess_WithStartButton2,※アクセスコードを他人に使用されないようご注意ください,"Пожалуйста, не позволяйте другим использовать ваш код доступа"
ST_GameMessage/AimeAccess_End,終了,Завершение
ST_GameMessage/SelName_EnterYourName,ドライバー名を入力してください,Введите имя водителя
ST_GameMessage/Operation_Backspace,１文字消,Удалить 1 символ
ST_GameMessage/SelName_DisplayedInRankings,"入力される情報は、ランキング、プロフィール等の情報やリプレイ表示のため
ゲーム画面、当該ゲームに関する携帯・ＰＣサイト、雑誌等の媒体で公開されます","Введённая информация будет отображаться в рейтингах, профилях и повторах
на игровом экране, мобильных/ПК сайтах игры и в журналах"
ST_GameMessage/SelName_End,決定,Подтвердить
ST_GameMessage/SelName_ConfirmStartButton,"方向キーで選択し、
<Yellow>START</>ボタンで決定します","Выберите стрелками и
подтвердите кнопкой <Yellow>START</>"
ST_GameMessage/SelName_AreYouSure,こちらのドライバー名でよろしいですか？,"Вы уверены, что хотите использовать это имя водителя?"
ST_GameMessage/SelName_DecidedName,"こちらのドライバー名で決定しました
ゲーム開始後にカスタマイズモードでドライバー名の変更が可能です","Имя водителя установлено
Вы можете изменить имя в режиме кастомизации после начала игры"
ST_GameMessage/SelName_ProhibitedWords,"禁止ワードが入力されているため
こちらのドライバー名は使用できません
再度入力してください","Обнаружены запрещённые слова
Это имя водителя использовать нельзя
Введите заново"
ST_GameMessage/SelName_TryAgain,"ドライバー名が入力されていません
再度入力してください","Имя водителя не введено
Введите заново"
ST_GameMessage/SelAvatar_SelectAvatar1,アバターを選択してください,Выберите аватар
ST_GameMessage/SelAvatar_SelectAvatar2,※決定後、変更することはできません,※После подтверждения изменить нельзя
ST_GameMessage/AimeLicense_HomeArea,※ホームエリアは、タイムトライアルやランキングなどに表示されます,※Домашняя зона будет отображаться в тайм-тестах и рейтингах
ST_GameMessage/SelTransmission_EquippedMT1,アドバンスドＭＴ機能搭載！,Установлена функция Advanced MT!
ST_GameMessage/SelTransmission_EquippedMT2,"・ＭＴ（ミッション）とＡＴ（オートマチック）機能がハイブリッド！
・ＭＴで走行中いつでもＡＴに切り替えできる！","・Гибрид механической и автоматической коробки передач!
・Можно переключиться на автомат в любой момент при езде на механике!"
ST_GameMessage/SelTransmission_ForAdvanced,上級者向け！,Для продвинутых пользователей!
ST_GameMessage/SelTransmission_AutomaticallySwitches,レバー中央でＡＴにもなる！,Рычаг в центральном положении также может быть AT!
ST_GameMessage/StartMenu_SelectManufacture,購入するメーカーを選択してください,Выберите производителя для покупки
ST_GameMessage/StartMenu_SelectCar,購入するクルマを選択してください,Выберите автомобиль для покупки
ST_GameMessage/StartMenu_SelectColor,カラーを選択してください,Выберите цвет
