key,source,target
Str_WD_Load_Story_01_Prologue/1_1_1,"これは、のちに伝説と呼ばれる走り屋の――
記録には残らなかった初めてのバトルである。","这是日后被称为传说的车手――
未曾留下记录的第一场比赛。"
Str_WD_Load_Story_01_Prologue/1_1_2,"偶然出会った走り屋を呼び止める秋山渉。
そのテクニックに驚いた渉は、ある提案をしてくる。","秋山涉叫住了偶遇的车手。
惊讶于对方技术的涉发出了邀请。"
Str_WD_Load_Story_01_Prologue/1_1_3,"秋名の峠を下っていた池谷浩一郎。
彼は先日ぶっちぎられた走り屋と偶然の再会を果たす。","池谷浩一郎正从秋名山的山道下山。
机缘巧合下再次遇到了之前甩开自己的车手。"
Str_WD_Load_Story_01_Prologue/1_1_4,"チームメンバーを引き連れ、ひとりの走り屋を追う池谷。
その目的は、チームへの勧誘だった。","池谷带着队友，寻找那名独自行动的车手。
池谷的目的是让那名车手让加入自己的队伍。"
Str_WD_Load_Story_01_Prologue/1_1_5,"秋名山に現れた謎の走り屋チーム。
偵察に飽きたメンバーは暇つぶしの相手を探していた。","出现在秋名山的神秘车队。
厌倦了侦查的队员为了消磨时间而寻找对手。"
Str_WD_Load_Story_01_Prologue/1_2_1,"秋名視察の帰り道、高橋涼介は今後の遠征プランを練り直していた。
そこに、ひとりの走り屋が現れる。","在秋名山实地考察后回来的路上，高桥凉介重新规划了之后的远征计划。
就在这时，出现了一名车手。"
Str_WD_Load_Story_01_Prologue/1_2_2,"赤城レッドサンズを下した謎の青年に沸き立つ秋名山。
池谷は彼をチームに迎えたいと考えているようだ。","击败了赤城红太阳的神秘青年让秋名山陷入了沸腾。
池谷似乎想让他加入自己的队伍。"
Str_WD_Load_Story_01_Prologue/1_2_3,"快晴の秋名山に現れた白黒のハチロク。
彼はどうやら、どこかに向かっているようだ。","天清气朗的秋名山上出现了一辆黑白相间的AE86。
他似乎正开往某个地方。"
Str_WD_Load_Story_01_Prologue/1_2_4,"突如手元に届いた挑戦状。
その送り主は妙義山の走り屋だった。","突然收到一封挑战书。
发出挑战的是来自妙义山的车手。"
Str_WD_Load_Story_01_Prologue/1_2_5,"バトルの連絡をしてきたのは、ナイトキッズの庄司慎吾。
夜の妙義山に、危険な香りが立ち込める。","发出比赛邀请的，是夜之子的庄司慎吾。
夜晚的妙义山，散发着危险的气息。"
Str_WD_Load_Story_01_Prologue/1_3_1,"見通しの悪い碓氷の峠道。
そこに現れたのは、ここをホームとする走り屋たち。","视野不佳的碓冰山道。
山道上出现了几名本地的车手。"
Str_WD_Load_Story_01_Prologue/1_3_2,"青いシルエイティから降りてきたのは二人組の走り屋。
碓氷峠最速を名乗る彼女たちは、再び勝負を挑んでくる。","从蓝色SILEIGHTY走来的二人组车手。
自称碓冰山道最快的她们再次发出挑战。"
Str_WD_Load_Story_01_Prologue/1_3_3,"白い彗星を探しに訪れた赤城山。
そこに現れたのは、かつて秋名の偵察に来ていた中村賢太だった。","为了寻找白色彗星而造访赤城山。
在赤城山，遇到了之前来秋名山实地勘察的中村贤太。"
Str_WD_Load_Story_01_Prologue/1_3_4,"赤城山に現れた黄色いFD。
ドライバーの高橋啓介は、少し苛立っているようだ。","出现在赤城山上的黄色FD。
车手高桥启介，似乎有些烦躁。"
Str_WD_Load_Story_01_Prologue/1_3_5,"レッドサンズのメンバーが去った静かな赤城山。
そこに鳴り響くのは、聞き覚えのあるターボ音だった。","红太阳的成员离开后，赤城山重归寂静。
这时，听到了熟悉的涡轮声。"
Str_WD_Load_Story_01_Prologue/1_4_1,"秋山渉との二本目のバトルがはじまった。
彼らの背後から迫るのは、もうひとつの排気音。","与秋山涉的第二局比赛开始了。
在他们的身后，另一个排气管的声音逐渐逼近。"
Str_WD_Load_Story_01_Prologue/1_4_2,"高橋兄弟を探しに赤城まで来たという岩城清次。
目的を果たせなかった彼は、バトルを挑んでくる。","岩城清次为了寻找高桥兄弟来到了赤城。
没能找到高桥兄弟，他转而发出了挑战。"
Str_WD_Load_Story_01_Prologue/1_4_3,"秋名山を走っている池谷たち。
秋名のハチロクの快進撃に、彼らは少し浮足立っているようだ。","池谷等人正行驶在秋名山上。
秋名AE86的快速进击，似乎让他们感到了不安。"
Str_WD_Load_Story_01_Prologue/1_4_4,"レッドサンズとのバトルを控えた庄司と中里。
彼ら曰く、走り屋の勢力図が塗り替わる事件が起きたそうだ。","要与红太阳进行对决的庄司与中里。
据他们所说，发生了一件改变车队间局势的事情。"
Str_WD_Load_Story_01_Prologue/1_4_5,"ナイトキッズに勝利したレッドサンズ。
その本拠地である赤城を尋ねると、ある男が佇んでいた。","红太阳战胜了夜之子。
来到红太阳的根据地赤城，发现一名男子伫立在山道之上。"
Str_WD_Load_Story_01_Prologue/1_5_1,"いろは坂を根城にする走り屋軍団「エンペラー」
その中には、いつか赤城で戦った男の姿があった。","以伊吕波坂为根据地的车队“帝王”
曾经在赤城交手过的男人也在其中。"
Str_WD_Load_Story_01_Prologue/1_5_2,"1vs1のバトルを目前に、岩城清次は不敵に笑う。
彼には絶対の自信があるようだ。","1vs1的对决即将开始，岩城清次露出了必胜的笑容。
他似乎有着绝对的自信。"
Str_WD_Load_Story_01_Prologue/1_5_3,"秋名山に現れた見慣れぬ車。
彼もまた、秋名のハチロクを探しにきたようだ。","秋名山上出现了一辆没见过的车。
他似乎也是来寻找AE86的。"
Str_WD_Load_Story_01_Prologue/1_5_4,"秋名のハチロクに挑み、敗れた小柏カイ。
彼はリベンジに向け燃えているようだ。","小柏魁前去挑战秋名的AE86，最终败下阵来。
以复仇为目标的他，现在斗志昂扬。"
Str_WD_Load_Story_01_Prologue/1_5_5,"突如現れたエンペラーのリーダー、須藤京一。
彼もまた、秋名のハチロクの速さに魅せられたひとりのようだ。","帝王的队长须藤京一突然现身。
他也为秋名的AE86的速度所吸引。"
Str_WD_Load_Story_01_Prologue/1_6_1,"涼介のもとへと向かうために通った秋名山。
雪の峠道で絡んできたのは、ガラの悪い男だった。","为了前往凉介所在的地方而路过秋名山。
在下雪的山道上，被一名未知男子缠上了。"
Str_WD_Load_Story_01_Prologue/1_6_2,"涼介不在の赤城にいたのは秋山渉と中村賢太。
渉の提案により、涼介が来るまでバトルをして過ごすことに。","赤城山路上凉介不见踪影，出现的是秋山涉与中村贤太。
秋山涉提出一边比赛一边等凉介到来。"
Str_WD_Load_Story_01_Prologue/1_6_3,"赤城山に現れた高橋涼介。
どうやら彼には話したいことがあるようだ。","高桥凉介出现在赤城山的路上。
他似乎有话要说。"
Str_WD_Load_Story_01_Prologue/1_6_4,"涼介の依頼で戦うことになった最初の相手は、
レッドサンズのナンバーツー、高橋啓介。","受凉介的委托，最先交战的对手，
是红太阳的No.2，高桥启介。"
Str_WD_Load_Story_01_Prologue/1_6_5,"ついに現れた秋名のハチロク。
ドライバーの藤原拓海はある決心をしたようだ。","秋名的AE86终于现身了。
藤原拓海似乎已经在心中做出了决定。"
Str_WD_Load_Story_01_Prologue/1_7_1,"高橋涼介が立ち上げた遠征チーム、プロジェクトD。
その快進撃に、多くの走り屋が沸き立っていた。","高桥凉介建立的远征车队，D计划。
其迅猛的闪电战，点燃了众多车手的激情。"
Str_WD_Load_Story_01_Prologue/1_7_2,"赤城山に現れたエンペラーのリーダー、須藤京一。
どうやら、彼には確かめたいことがあるようだ。","帝王的队长，须藤京一出现在赤城山上。
他似乎有什么事想要确认。"
Str_WD_Load_Story_01_Prologue/1_7_3,"もみじラインの走り屋チーム、セブンスターリーフ。
彼らは先日、プロジェクトDとバトルをしたそうだ。","枫树线的车队，七星叶。
他们在前些天与D计划进行了比赛。"
Str_WD_Load_Story_01_Prologue/1_7_4,"セブンスターリーフのヒルクライムエース、川井淳郎。
プロジェクトDに敗れた彼は、自身の走りを見つめなおしているようだ。","七星叶的上坡道王牌，川井淳郎。
输给D计划之后，他似乎在重新审视自己的车技。"
Str_WD_Load_Story_01_Prologue/1_7_5,"一度はバトルを引退した末次トオル。
震える彼の手から、緊張と高揚が伝わってくる。","一度从比赛前线隐退的末次彻。
从他颤抖的双手，能感觉到紧张与兴奋。"
Str_WD_Load_Story_01_Prologue/1_8_1,"次の対戦相手を求めて訪れた八方ヶ原。
そこには、エンペラーのリーダー、須藤京一がいた。","为了寻找下一个对手来到了八方原。
在这里，遇到了帝王的队长，须藤京一。"
Str_WD_Load_Story_01_Prologue/1_8_2,"八方ヶ原の攻略法を語る須藤京一。
彼は、かつて東堂塾の塾生だったそうだ。","传授八方原的攻略方法的须藤京一。
他曾经似乎是东堂塾的学生。"
Str_WD_Load_Story_01_Prologue/1_8_3,"東堂塾OBで現役プロレーサーの舘智幸。
彼の勧めで塾生の練習に参加することになった。","东堂塾的毕业生，现役职业赛车手馆智幸。
在他的劝说下，决定与练习中的东堂塾学生汇合。"
