key,source,target
Str_WD_Race_Story_01_NextPreview/1_1_1,"危険な香りのする男、秋山渉。
彼との出逢いが運命を変えていく！","散发着危险气息的男人，秋山涉。
与他的相遇将改变命运！"
Str_WD_Race_Story_01_NextPreview/1_1_2,渉との別れの先で待ち受けていたのは、新たな出会い‥！,与涉分别后，还有新的邂逅在前方等待……！
Str_WD_Race_Story_01_NextPreview/1_1_3,再びぶっちぎられた池谷の顔に浮かぶのは、まさかの‥笑み？,再次被甩开，池谷的脸上却浮现出了……笑容？
Str_WD_Race_Story_01_NextPreview/1_1_4,"秋名スピードスターズに交流戦を申し込みに来た謎の走り屋チーム。
彼らの正体とは‥！","向秋名速度之星提出进行交流战的神秘车队。
他们究竟是……！"
Str_WD_Race_Story_01_NextPreview/1_1_5,中村賢太をちぎった帰り道、その先で待っていた男とは‥！,击溃中村贤太后，在回去的路上遇到了那个男人……！
Str_WD_Race_Story_01_NextPreview/1_2_1,"秋名で行われた交流戦。
そこにハチロクに乗ったひとりの青年が現れる。",在秋名山举办了交流战。此时出现了一名开着AE86的青年。
Str_WD_Race_Story_01_NextPreview/1_2_2,"交流戦の熱気は未だ収まらない。
秋名のハチロク、彼は一体何者なのか。","交流战的气氛依旧热烈。
秋名的AE86，到底是什么人物？"
Str_WD_Race_Story_01_NextPreview/1_2_3,"突如叩きつけられた挑戦状。
妙義ナイトキッズの中里毅とは‥！","突如其来的挑战书。
妙义夜之子的中里毅是何许人也……！"
Str_WD_Race_Story_01_NextPreview/1_2_4,"妙義ナイトキッズから一本の連絡が届く。
それは危険な夜への招待状――！","妙义夜之子发来消息。
一封前往颤栗之夜的邀请函――！"
Str_WD_Race_Story_01_NextPreview/1_2_5,"息抜きで訪れた碓氷峠。
そこで待ち受けていたのは、地元最速の二人組。","在休整期间造访了碓冰山道。
等待在那里的，是当地最快的二人组。"
Str_WD_Race_Story_01_NextPreview/1_3_1,"暗い夜の闇の中、
碓氷峠最速の二人、インパクトブルーが立ちはだかる‥！","在昏暗的夜晚中，
碓冰山道最快的两人，冲击之蓝阻挡在前方……！"
Str_WD_Race_Story_01_NextPreview/1_3_2,"白い彗星の噂を聞いて向かった赤城山。
そこで出逢った男とは‥？","听闻白色彗星的传言后前往赤城山。
在那里遇见的男子是……？"
Str_WD_Race_Story_01_NextPreview/1_3_3,"中村賢太のバトルの後、
突如現れたのは、闇を切り裂く黄色いFD！","与中村贤太的对决之后
冲破黑暗的黄色FD突然出现！"
Str_WD_Race_Story_01_NextPreview/1_3_4,"走り去っていく高橋啓介。
彼とすれ違うように現れたのは、見覚えのあるあの男‥！","高桥启介驾车离去。
与他擦肩而过，出现了一名眼熟的男子……！"
Str_WD_Race_Story_01_NextPreview/1_3_5,"二本目のバトルを要求する秋山渉。
そんな彼の背後から、不穏な音が鳴り響く。","秋山涉要求进行第二局比赛。
在他的后方，传来了了令人不安的声音。"
Str_WD_Race_Story_01_NextPreview/1_4_1,"突如現れた謎の男、岩城清次。
彼もまた、高橋兄弟を探しに来た挑戦者だった。","突然出现的神秘男子，岩城清次。
他也是来寻找高桥兄弟的挑战者。"
Str_WD_Race_Story_01_NextPreview/1_4_2,"久しぶりに再会した池谷たちに追われる中、
突如現れたのは、謎のクルマだった。","在被许久未见得池谷等人追逐的过程中，
一辆神秘车辆突然出现。"
Str_WD_Race_Story_01_NextPreview/1_4_3,"偶然出会ったナイトキッズの二人。
彼らは白い彗星率いるレッドサンズとバトルをするらしい。","与夜之子的两名成员偶然相遇。
他们似乎要与白色彗星率领的红太阳展开对决。"
Str_WD_Race_Story_01_NextPreview/1_4_4,"再び訪れた赤城山。
そこには、探していたあの男の姿があった。","再次造访赤城山。
在这里，见到了正在寻找的那个男人。"
Str_WD_Race_Story_01_NextPreview/1_4_5,"涼介に勧められて訪れたいろは坂。
待ち受けていたのは、屈強な走り屋軍団だった。","在凉介的建议下来到了伊吕波坂。
等待在这里的，是一只强大的车队。"
Str_WD_Race_Story_01_NextPreview/1_5_1,"エンペラーのメンバーが敗れ、引きずりだされた岩城清次。
1vs1のバトルが幕を開ける。","帝王的成员败北后，岩城清次决定亲自上场。
1vs1的对决即将拉开帷幕。"
Str_WD_Race_Story_01_NextPreview/1_5_2,"秋名に現れた見慣れぬクルマ。
秋名のハチロクを探しに来たという、彼の正体とは。","秋名山上出现了一辆没见过的车。
来这里似乎是为了寻找秋名的AE86，他是谁？"
Str_WD_Race_Story_01_NextPreview/1_5_3,"謎の男、小柏カイ。
彼は幼い頃から走りの英才教育を受けてきた強者だった。","神秘男子，小柏魁。
他是自幼受到精英级赛车教育的强者。"
Str_WD_Race_Story_01_NextPreview/1_5_4,"激闘の余韻が残るいろは坂。
そこにエンペラーのリーダー、須藤京一が現れる。","激战的余韵仍旧残留在伊吕波坂。
帝王的队长，须藤京一在此时现身。"
Str_WD_Race_Story_01_NextPreview/1_5_5,"涼介に呼び出され赤城に向かう道中、
雪の秋名でガラの悪い男に絡まれる。","被凉介叫出来前往赤城的途中，
在下雪的秋名山上被一名未知男子缠上了。"
Str_WD_Race_Story_01_NextPreview/1_6_1,"赤城に着くと涼介はいなかった。
代わりにいたのは、まさかの二人組。","到达赤城后凉介不见踪影。
代替凉介出现的，是意料之外的二人组。"
Str_WD_Race_Story_01_NextPreview/1_6_2,"賢太と渉とのバトル後に現れた涼介。
赤城の白い彗星はなにを語るのか。","在与贤太和阿涉的比赛结束后，凉介现身。
赤城的白色彗星会说些什么？"
Str_WD_Race_Story_01_NextPreview/1_6_3,"高橋涼介からの依頼。
それはふたりの走り屋と戦うことだった。","来自高桥凉介的委托。
委托内容是与两名车手比赛。"
Str_WD_Race_Story_01_NextPreview/1_6_4,"ついに出逢う噂の走り屋。
ドライバーの藤原拓海は、強い覚悟を瞳に秘めていた。","终于和传闻中的车手相遇。
车手藤原拓海，能从他的双眼看到强烈的信念。"
Str_WD_Race_Story_01_NextPreview/1_6_5,"走り出した伝説は止まらない。
高橋涼介が新しく作ったチームとは‥！！","疾驰而出的传说尚未停止。
高桥凉介新建立的队伍是……！！"
Str_WD_Race_Story_01_NextPreview/1_7_1,"赤城山の麓で再会した、須藤京一。
言葉少なに、彼はバトルを要求してくる。","在赤城山的山脚下，与须藤京一再次相遇。
没有过多言语，他要求进行比赛。"
Str_WD_Race_Story_01_NextPreview/1_7_2,"プロジェクトDを追って訪れた、もみじライン。
地元の走り屋たちが放つ熱気が、峠を包んでいた。","追逐D计划来到了枫树线。
本地车手们疾驰过后的热气，萦绕在山道之中。"
Str_WD_Race_Story_01_NextPreview/1_7_3,"セブンスターリーフのヒルクライムエース、川井淳郎。
400馬力を誇る彼の愛車が、もみじラインを駆け上る！！","七星叶的上坡道王牌，川井淳郎。
驾驶着400马力的爱车，疾驰在枫树线之上！！"
Str_WD_Race_Story_01_NextPreview/1_7_4,"藤原拓海に敗れ、一度は前線から退いた末次トオル。
彼の中に眠る闘争心が、再び燃え上がる！！","输给藤原拓海后，末次彻一度放弃了比赛。
他心中的斗志，再次燃起！！"
Str_WD_Race_Story_01_NextPreview/1_7_5,"プロジェクトDの影を追って訪れた、八方ヶ原。
そこは、速さを追求する猛者たちの集う峠だった！！","为了追逐D计划的身影来到了八方原。
那里的山道上，聚集着追求速度的猛者们！！"
Str_WD_Race_Story_01_NextPreview/1_8_1,"八方ヶ原の攻略法を伝授する須藤京一。
彼が東堂塾にこだわる理由とは。","须藤京一传授了攻略八方原的方法。
他执着于东堂塾的理由是什么？"
Str_WD_Race_Story_01_NextPreview/1_8_2,"東堂塾OBで現役プロレーサーの舘智幸。
彼の勧めで、東堂塾の練習に合流することになった。","东堂塾的毕业生，现役职业赛车手馆智幸。
在他的劝说下，决定与练习中的东堂塾学生汇合。"
Str_WD_Race_Story_01_NextPreview/1_8_3,"東堂塾の現役二強の一角、酒井。
彼の不気味な笑みが牙を剥く！！","东堂塾现役最强二人之一的酒井。
在他阴森的笑容之下，潜藏着獠牙！！"
Str_WD_Race_Story_01_NextPreview/1_8_4,"東堂塾エースの呼び声が高い二宮大輝。
天性のブレーキングセンスを有する彼の強さとは！！","二宫大辉，称他是东堂塾王牌的呼声极高。
他有着敏锐的刹车嗅觉，而他真正的过人之处则是！！"
Str_WD_Race_Story_01_NextPreview/1_8_5,"久しぶりに訪れた秋名山。
そこに現れたのは、尋常じゃなく速い奴！！","时隔许久再次造访秋名山。
在这里，遇到了一名疾如闪电的车手！！"
Str_WD_Race_Story_01_NextPreview/1_9_1,"謎のインプレッサの正体は掴めぬまま、
次に挑むは掟破りの連合チーム！！","突然出现的翼豹，其真实身份依旧成谜，
接下来将挑战打破规则的联盟车队！！"
Str_WD_Race_Story_01_NextPreview/1_9_2,"三人の前に現れたのは、黒いFD。
哀しげなロータリーサウンドが峠に響く‥！！","出现在三人面前的，是一辆黑色的FD。
转子发动机的哀伤回音响彻山道……！！"
Str_WD_Race_Story_01_NextPreview/1_9_3,"ようやく現れた、坂本と名乗るラリースト。
彼が乗るのは、まさかのマシン！？","名为坂本的拉力赛车手终于现身。
他驾驶的，竟然是那辆车！？"
Str_WD_Race_Story_01_NextPreview/1_9_4,"坂本との熱戦に触発されたのは、やっぱりあの男！！
進化した彼のレビンが、峠を駆ける！！","与坂本的激烈对战，点燃了那个男人的激情！！
他的LEVIN在进化之后，疾驰于山道之上！！"
Str_WD_Race_Story_01_NextPreview/1_9_5,"プロジェクトDの埼玉遠征が最終局面を迎える中、
インパクトブルーの本拠地、碓氷峠におかしな奴等が現れた！！","就在D计划的埼玉远征即将迎来最后的决战时，
在冲击之蓝的根据地，碓冰山道上出现了一群可疑人物！！"
Str_WD_Race_Story_01_NextPreview/1_10_1,"こそこそと去っていく東京から来た二人。
すれ違うように現れたのは、碓氷峠の天使たち！！","东京二人组灰溜溜地离开了。
与他们错身而过的，是碓冰山道的天使们！！"
Str_WD_Race_Story_01_NextPreview/1_10_2,"インパクトブルーとの最後のバトルを終え、一路向かうは土坂峠。
嫌な予感が胸をよぎる。","结束与冲击之蓝最后的对决，一路前往土坂山道。
一股不详的预感在心中升起。"
Str_WD_Race_Story_01_NextPreview/1_10_3,"突如呼び止めてきた、ランエボに乗った男たち。
彼らは最近、ひどい目にあったようだ。","突然被两名驾驶LANEVO的男子叫住。
他们最近似乎遭遇了惨败。"
Str_WD_Race_Story_01_NextPreview/1_10_4,"ランエボの男たちが去った峠、ロータリーサウンドが響く。
現れたのは、目を赤くした岩瀬恭子だった。","驾驶LANEVO的两人离开后，山道中传来了转子发动机的声音。
出现在面前的是双眼通红的岩濑恭子。"
Str_WD_Race_Story_01_NextPreview/1_10_5,"プロジェクトDの噂を聞き付けやってきた定峰峠。
そこにいたのはまさかの男たち。","得知D计划的消息而来到定峰山道，
居然遇见了意想不到的人物。"
Str_WD_Race_Story_01_NextPreview/1_11_1,"ニセモノを追い払い、ようやく辿り着いた場所。
そこは峠の神様たちのホームコースだった。","赶走冒牌货后终于来到的地方。
那便是山道车神们的主场。"
Str_WD_Race_Story_01_NextPreview/1_11_2,"強敵パープルシャドウの登場を待つ間に現れたのは、
かつてしのぎを削った二人組！","在等待强大对手紫色暗影出现的时候，
过去曾经针锋相对的二人组来了！"
Str_WD_Race_Story_01_NextPreview/1_11_3,"ついに現れた峠の神様。
そのひとり、城島俊也が立ちはだかる。","山道之神终于现身。
首当其冲的便是城岛俊也。"
Str_WD_Race_Story_01_NextPreview/1_11_4,"城島の次に現れたのは神の足を持つ男、星野。
もうひとりの神様が、牙を剥く。","紧接城岛之后登场的是拥有神之脚的男人星野。
又一位车神虎视眈眈。"
Str_WD_Race_Story_01_NextPreview/1_11_5,"峠の神様を倒したのも束の間、
プロジェクトDの高橋涼介から一本の連絡が舞い込んでくる。","打败山道之神没多久，
收到了D计划高桥凉介发来的消息。"
Str_WD_Race_Story_01_NextPreview/1_12_1,"神奈川エリアの三強、チーム246。
走りの聖地の強者たちが勝負を挑んでくる。","神奈川地区的三强，246车队。
赛车圣地的强者们前来挑战。"
Str_WD_Race_Story_01_NextPreview/1_12_2,"246のヒルクライマー小早川の敗北に、
リーダーの大宮智史が立ち上がる。","246车队的上坡赛选手小早川战败后，
队长大宫智史站了出来。"
Str_WD_Race_Story_01_NextPreview/1_12_3,"下見を終え、久しぶりに訪れた秋名山。
そこには意外なコンビの姿があった。","结束探路后，再次来到久违的秋名山。
在那里遇到了意想不到的组合。"
Str_WD_Race_Story_01_NextPreview/1_12_4,"二本目に突入する渉の熱血指導。
弱音を吐く樹の後ろから、一台のクルマが迫る。","涉开始第二场热情指导。
在唉声叹气的阿树后面，一辆车快速接近。"
Str_WD_Race_Story_01_NextPreview/1_12_5,"強者蠢く走りの聖地、神奈川。
次の峠の攻略は、あの男とともに。","强者云集的赛车圣地神奈川。
下次的山道攻略将和那个人合作。
下集《异地教学》"
